mean_kernel_sigma3_theta0.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta0.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta0.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta0.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta20.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta20.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta20.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta20.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta40.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta40.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta40.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta40.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta60.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta60.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta60.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta60.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta80.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta80.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta80.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta80.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta100.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta100.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta100.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta100.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta120.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta120.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta120.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta120.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta140.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta140.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta140.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta140.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta160.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta160.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta160.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta160.0_lambd3_gamma0.05_phi0.0,label
110.16439446366782,80.09913407121567,80.80342560553633,56.29460146723832,106.3384429065744,82.85227498530031,97.63505190311419,60.261068673411906,119.4874740484429,59.071293054831145,73.37425605536332,57.3038184946337,148.9325259515571,66.8326496535154,92.19695501730104,88.06050391968962,121.8260553633218,82.81728807121725,149.6959169550173,85.64458741549846,122.00626297577854,82.74097947183442,147.9232179930796,85.20837853370689,150.211107266436,66.58712559732365,96.60629757785468,87.89256702078478,119.38941176470588,59.63338094711209,78.02730103806229,63.83333984223735,105.27702422145329,83.09346847529875,97.95159169550173,62.95107983572487,freii
108.96757119082841,81.0967902190852,72.61552329881657,51.52392801830502,100.47787999260355,74.27387225554145,88.07849482248521,55.632750655001246,124.08316383136095,60.908224984474806,63.854012573964496,50.466216295930614,150.79821560650888,68.212517481725,82.97977533284023,78.4548184963152,116.10932877218934,83.29777874834912,146.07562869822485,80.89202098109871,116.79983357988165,83.53989123901673,143.46662352071007,80.47689279969786,152.63063979289942,67.74545785854167,85.16339219674556,78.74142317054901,124.22441290680473,60.78608543631695,64.5427838387574,52.41016034805486,98.62835151627219,74.96580045951754,87.80237610946746,56.14581210551006,mononematosum
105.87563265306123,81.36491457993272,78.01534693877551,47.65098239968557,148.18804081632652,84.49970112154827,94.63244081632654,54.61297523035898,105.02031836734695,60.430054586836434,66.34564081632654,43.14638057723828,137.26628571428571,67.90279557588485,161.33588571428572,104.37096529741147,99.00204081632653,75.44335501714669,168.25256326530612,101.00821550523563,98.97805714285714,75.42126658446473,168.1444244897959,101.04253825733554,137.3232326530612,67.86911938098176,161.14925714285715,104.46791125263766,105.05097142857143,60.46189569046689,66.19432653061224,42.90562106335431,148.4681469387755,84.32776010400134,94.70894693877551,54.639173716685015,Eupenicillium egyptiacum
104.40475918305137,82.30450271373627,80.53286465477824,47.35486420561405,145.9903025453437,86.6011254873772,97.53076893766195,53.55466162263674,103.48778768480415,57.38191176378012,68.44456828227405,42.90721863439732,136.1764689071788,65.84996388901313,146.7887993446121,107.39162597229354,109.31045191281817,80.97918671224195,161.1656283340954,102.70106242402697,109.34090649291267,80.98295556812053,160.8607491236092,102.58804514956068,135.77636793171772,65.83545067392936,145.98533950617283,107.39598937276588,103.17464944368237,57.15328261390588,68.62317101051669,43.12944469570956,146.96494436823656,86.1874330449428,97.62590496875477,53.513872304088764,nalgiovense
89.85323831153575,84.70967615546733,55.43971238938053,48.89377374751215,111.05621035319915,92.96740123959005,66.64895449917769,55.47332387343031,107.28579469809695,76.0882799368561,48.07084051217793,46.83804144983421,128.26004385621428,86.74628638874333,84.32149639752525,82.77926236482935,94.46805250998511,87.42701462187496,111.16646761688465,89.30283555866731,94.42446060772183,87.39272706151294,111.57411504424779,89.78380966425493,128.50977464954187,86.73044027165919,84.07428635758478,83.28493784248536,106.4114310047772,76.07914706860241,48.614838671783225,48.61146434506986,110.49949584932259,92.85022495692729,66.76539372699507,55.918037213855676,roqueforti
101.2509251391135,83.08404933330493,63.14637071352211,49.51496011964322,108.3896685946109,75.80605792759434,76.75187083687399,56.321722378569866,118.65003700556454,69.43681882011528,59.19244264137496,54.58594689508513,144.14121734601574,78.06250684381914,89.59831144979579,78.56504468895487,106.39358844329925,85.678221294805,118.70015213398756,83.2169248730248,106.25286450481072,85.72034256152949,119.43112853266084,83.48498139246892,144.2614580192429,77.92462235710717,89.5828650530413,78.8672108284531,118.40554672295167,69.38215051359136,60.77858337216633,57.34971218651032,107.60711055069763,76.19469864805204,76.86586168142321,57.187725567137946,polonicum
105.6232490201771,82.11044643811192,83.7289700972565,50.94423908741592,124.0296487153433,75.90665806601004,101.84906191029177,58.876219167913135,97.93247387138918,59.89609192241687,71.53315067498912,47.2089790017837,132.31038612280446,67.05086249880594,150.24638009870807,94.96250520930683,111.58182428509218,83.88853221006099,92.0094353316882,99.68125424385043,111.63854514443315,83.96979687940801,93.45547249237916,99.91446813276788,132.46275765713457,66.99808102538864,149.69189105820874,95.28573289333467,98.13792821889969,60.147694821256486,71.55818152126578,47.78343431136287,125.05176731020467,75.56032516906579,101.91556285382494,58.972463283077346,radicicola
107.08044547458873,81.88446930811999,74.22554977669738,51.1032010957748,93.01232404319069,80.07610356826204,89.53015998643225,56.620011905554705,117.05795974899655,59.82618265513244,66.07486290915259,53.20021770886996,146.87485160269094,68.58416037436093,83.26915031940754,85.19981836499332,113.71776245124089,84.07283954996201,149.68462038555035,86.50279587807651,113.17270620159421,84.18575323130831,148.4887076714342,86.47964147824733,145.90301882525864,68.975352889858,85.75529990389508,85.3300056590389,116.72142291819775,59.85167539641354,68.4910537622251,56.960129952630744,93.48419921985415,80.98019446241852,89.6128808864266,57.1347136832348,dipodomyicola
108.88640260631001,81.33300417962671,79.00377229080932,47.44396858951524,112.84492884087791,93.67424157356596,96.22903806584362,53.11485086206469,111.6269718792867,57.57351190015881,67.32570301783265,42.91769911083355,143.12740054869684,65.00429260832681,95.12424982853224,100.33475078677257,113.23356052812072,83.09607556151641,158.2926740397805,93.46429975505846,113.15903635116598,83.32272591315127,156.6301011659808,94.61965595383664,142.9605409807956,65.04319228720526,95.59651491769547,100.71752432317689,111.4755872770919,57.72517084259119,67.97599451303155,43.94986463824587,112.50413665980795,93.26166197501573,96.62890089163237,53.52195914987156,Eupenicillium crustaceum
109.77607170319108,81.00429521474912,83.44093617839293,59.73508470410063,106.40873702422145,77.03360196049343,100.62985390234525,66.23100626320043,113.56182718185313,60.56627935963673,82.11014994232987,66.33649263062871,144.5379661668589,68.50195914501647,105.5921520569012,87.16103959488878,119.47205401768551,83.03071979752275,130.78899942329872,88.28783950182951,119.20230199923107,82.78141769513151,128.53878316032296,88.72695744155399,144.51511437908496,68.48009398454595,109.22858996539793,87.32380106698797,113.09558823529412,61.14830724085304,87.21856978085351,70.65763403100009,103.24031622452902,76.12990785485314,101.6776480199923,68.61310925917412,glandicola
