LTE_LL_7,LTE_EE_7,LTE_SS_7,LTE_LE_7,LTE_ES_7,LTE_LS_7,label
306433.67639768525,3173.584160346628,615.7581716666052,17353.446231682818,1375.8824606149888,5514.696791267791,griseofulvum
358702.7223964059,2359.7800236469598,303.8937851880475,17907.769637401296,786.1730035080906,3849.4940817942975,neoechinulatum
305560.8415082866,2717.4076098096166,467.90887752866723,14950.380754123948,1111.8201288673395,4838.896432326198,expansum
315694.10381857003,2558.135620013127,393.3954758722059,18223.41977066893,938.1212490184905,4305.369332001657,formosanum
351814.6616976811,2914.0166917741344,407.36255328001715,17619.47708369898,1034.8314062378813,4702.138674184131,entromorphobium
287138.4073841081,1336.0782320000912,176.09884803016465,8971.084118060111,473.9659499117297,2276.3218383443254,polonicum
312808.64766556927,2089.2199199111287,313.17615941871253,10895.051208139528,803.621178266955,3640.19368326704,tulipae
332589.06651622127,1754.9941038734555,252.67655439719678,11863.837874446597,640.0534302397583,2923.657907431497,solitum
344823.2074727189,3316.3273412293747,474.3522392627435,20405.5004058692,1219.2672741034103,5862.859258016961,discolor
290023.08125714224,2111.2461995664253,405.04120782045504,10761.425797290216,917.159988134086,3670.1355029498186,polonicum
383483.99507172575,1298.3983548972942,176.89270815949425,13555.345691801987,448.8512838532556,2157.3172566812864,nalgiovense
370670.3579992707,674.6188706405637,87.5693678951058,7820.095638279904,222.43483117604376,1146.7879923131995,Eupenicillium egyptiacum
349209.2560084814,3280.7978520879105,470.7610678807526,22180.87405496571,1177.236672275485,5446.95162487312,thymicola
328691.39177051635,1674.263237206689,208.8134286096906,13121.74235126883,544.3069455100548,2487.396689299832,percisinum
322807.28391709126,1684.9796131354524,247.7405304317315,11135.192885593726,623.2456858212383,2864.202193069402,solitum
318343.5779988842,1904.1289845188176,286.1044647452399,12637.528611610676,697.5297294495253,3136.5918695244263,olsonii
319461.3104135063,3293.2300455389386,504.15226600556434,19878.030047166358,1255.3662798302744,5927.175985799694,echinulatum
319811.3793446846,1834.3385531182248,305.0747772881884,13659.6166076612,723.8666687917919,3320.6065247831184,radicicola
347548.20394625,3177.031978605123,419.6153186433241,21344.839013059085,1081.7061385183315,5098.310578002884,entromorphobium
304193.32428255316,747.3656935435062,129.07161284256784,7158.558796810473,293.14627400929555,1596.4870406717419,digitatum
375366.51957965415,2357.8691709417667,303.78006076070125,18787.743479239994,770.6137326533687,3437.2112406186907,Eupenicillium osmophilum
324478.83837851783,2818.8015403714153,508.86722070160954,17269.9762780953,1170.7544531929834,5176.101680914376,dipodomyis
341508.8277832339,1511.5866916618706,235.20588960006958,9317.68432802202,582.0825762397627,2572.0823749293368,mononematosum
377362.6894876798,2220.799421805575,293.02842470347804,16863.721727876866,740.0386144055101,3320.8623855277074,Eupenicillium tularense
294064.3362662781,2057.8241501322627,224.50173588278184,16338.134716258835,639.2731644353019,3443.284410900749,freii
291192.31352307065,2736.029096768563,468.4382216739761,14481.75662814091,1111.7568146153012,4819.341809353626,expansum
356672.2998532343,2025.6270251108588,259.53792256054106,18249.970041812026,672.5742307520657,3233.609990947475,nordicum
330113.21131539054,2393.8013400534064,385.1452069779146,16062.37284892983,914.0692854954905,4260.800175360249,formosanum
277482.4878322111,1201.128493975351,157.11805042768037,8010.255482178575,422.75410840462575,2061.013406480094,polonicum
316929.0215237436,2497.4826701020247,383.61101843740255,16403.71341976417,935.6203304895637,4361.028349332441,flavigenum
344374.62368794135,2880.318699016083,393.14602707026586,18750.94976284011,1036.0168180405003,5217.263693160091,discolor
338928.47717211937,3300.055728714626,452.0419600976096,21575.389120854576,1152.1616153504633,5550.267240604866,entromorphobium
331008.860748287,919.5995868192191,106.61949635281653,8024.13788591326,286.7923443588096,1575.5671087734338,formosanum
286848.35236766684,1136.0936090198668,138.212285498662,8451.400832470403,382.6343312296091,1939.3311700636689,polonicum
330655.2107559564,2152.9883013527437,329.7390709379874,11692.394441546949,831.5258609370799,3833.3668352056616,tulipae
325995.31558923516,2754.4160068547867,507.0986038268692,16944.833090080407,1148.940900968024,5105.091580458942,dipodomyis
368912.9716432743,1576.092173039227,186.7016937888959,12672.087840543612,500.2292470285556,2543.5635932089617,entromorphobium
283495.14312153315,1235.0447707657308,155.3522237977855,8839.321702921774,423.33517411240564,2067.0438895805387,polonicum
366238.51650486706,1066.061820179427,140.18503303126414,9349.82054918627,354.4262441847427,1631.2315534007637,Eupenicillium egyptiacum
322137.31382640667,2133.140727824032,366.9755260457344,13140.968890106244,872.1854875961046,3854.7164962226316,nalgiovense
309018.19575247384,1376.0275355982124,235.20063840500615,10410.858739124982,544.1976715125087,2376.3760618813308,palitans
313432.8765769554,4007.5087971630064,680.671827874115,21832.71787154473,1600.8421156370678,6983.189517450059,griseofulvum
347523.63117577677,2851.1963951863686,415.7817733275093,18904.188077635703,1031.6210679816168,4599.693792124488,spinulosporum
306434.0683721125,3663.629067658615,508.912701949993,20806.62584247887,1335.6189285121245,6450.980694276173,ulaiense
275507.9109066737,866.980941687306,99.29736365724946,7193.423412275735,274.5529321681888,1506.5112478216925,hirsutum
312955.62405035144,3505.8747905810797,614.0452952049136,19893.298865965677,1436.9534147584943,6297.353173469727,griseofulvum
286916.20384079684,733.7372907850042,127.74138458977936,6362.849446112701,292.4620338051376,1534.225094811305,digitatum
294897.68253661797,2910.5307751039077,449.2990793690696,18023.31110222703,1085.9140931004927,4882.401607238434,mononematosum
315205.4685357343,3317.493159232017,515.0216038448682,19587.19992524469,1273.6161145502133,6012.275948715414,echinulatum
312798.7416040033,2113.034181296484,316.4455084947751,11371.835841532182,807.175029292242,3712.4337777229975,tulipae
310155.0972001337,3250.895684915199,490.5215066159407,19593.51043748128,1230.093939239851,5912.155025979035,echinulatum
402245.6492710876,998.8197839747544,99.75596120971919,13498.517591027618,271.14933731899555,1508.198763515629,gladioli
302521.18072483205,2879.601055567312,452.0530249828242,18411.70565786346,1072.9623267600948,4712.869572510708,mononematosum
311670.2964358185,1004.8404631080873,156.9629047210105,7106.926865754707,384.10891625958,1708.350110884003,melanoconidium
351542.69575698255,589.4192719392967,83.70051642677103,6922.244481219517,206.3482906640717,909.184013133585,Eupenicillium molle
345220.08849021303,2939.938801703192,415.14995991328243,18752.371172931038,1082.3952791579416,5382.16010067235,discolor
343451.3737655441,1052.8102394936388,160.53783448464853,8908.118607110897,393.309035147077,1864.9035560222223,Eupenicillium crustaceum
303176.09541516803,3401.6941217590766,602.8899438229112,17833.610258896246,1403.8482716193867,5938.817008368816,griseofulvum
335834.2556002529,2832.414145020274,413.66308007927233,19128.428431312423,1028.2379772852605,4640.160775319396,glandicola
340916.4233454075,2551.772206876562,452.35739880850554,14209.178971618243,1053.1386621721954,4462.488163638591,tricolor
283932.0803333766,1188.7663209055709,149.6289615500192,8451.363544898879,408.22986564408154,1993.4403310197326,polonicum
354130.3563982906,2375.310476325073,305.685368192551,18224.46848487704,793.0655324070724,3963.205920450244,neoechinulatum
378587.23480907304,1533.6200113314057,192.55731494222354,15175.52001177714,489.0423187198248,2460.5583089043007,Eupenicillium tularense
316853.33670285385,2235.6793084044884,343.34951337419693,13302.944645601045,860.3776790490632,3814.5555857641466,freii
339587.4655817132,657.0248632977787,91.10936787368423,7750.712184310001,225.55695864396853,1050.519338927122,Eupenicillium molle
355174.3331639413,2743.6805861005014,348.8936556030086,19136.370705768975,923.6637326048153,4635.996183743582,entromorphobium
385705.9190649814,2017.0465401547797,257.14043622666094,14807.075839433637,691.5447464894846,3394.582311387187,radicicola
